NSX, Description, New Price, Discount percent, Old Price, 
EtiaXil, Lăn Khử Mùi EtiaXil Nhãn Xanh Cho Da Nhạy Cảm 15ml, 159.000 ₫, 50%, 320.000 ₫, 
Vaseline, Sữa Dưỡng Thể Vaseline Sáng Da Chuyên Sâu Ban Đêm 330ml, 113.000 ₫, 25%, 150.000 ₫, 
Vaseline, Combo 2 Sữa Dưỡng Thể Vaseline Sáng Mịn Da 330ml, 225.000 ₫, 25%, 300.000 ₫, 
Vaseline, Serum Dưỡng Thể Vaseline Chống Nắng Sáng Da 300ml (Mới), 136.000 ₫, 33%, 203.000 ₫, 
Cocoon, Tẩy Da Chết Toàn Thân Cocoon Cà Phê Đắk Lắk 200ml, 100.000 ₫, 20%, 125.000 ₫, 
Dove, Smoothie Tẩy Da Chết Dove Hương Hoa Anh Đào 298g, 149.000 ₫, 25%, 199.000 ₫, 
Cocoon, Combo Cocoon Tẩy Da Chết Cho Mặt & Toàn Thân Từ Cà Phê Đắk Lắk (200ml+150ml), 221.000 ₫, 24%, 290.000 ₫, 
Lifebuoy, Sữa Tắm Lifebuoy Detox Matcha & Khổ Qua 800g, 153.000 ₫, 22%, 195.000 ₫, 
Dove, Serum Ngăn Mùi Dove Giúp Mờ Thâm Thu Nhỏ Lỗ Chân Lông 40ml, 65.000 ₫, 33%, 97.000 ₫, 
Vaseline, Sữa Dưỡng Thể Vaseline Gluta-Hya Nâng Tông Tức Thì 300ml, 134.000 ₫, 31%, 195.000 ₫, 
Nivea, Sữa Dưỡng Thể Nivea Sáng Da Ban Đêm Từ 8 Super Food 350ml, 99.000 ₫, 29%, 139.000 ₫, 
Johnson's, Sữa Tắm Johnson's Adult Từ Hạnh Nhân Cho Người Lớn 750ml, 133.000 ₫, 22%, 171.000 ₫, 
Milaganics, Gel Nha Đam Milaganics Dưỡng Ẩm & Làm Mềm Da 300ml, 62.000 ₫, 66%, 184.000 ₫, 
Sunplay, Lotion Chống Nắng Sunplay Dưỡng Thể Mát Lạnh 150g, 163.000 ₫, 20%, 204.000 ₫, 
St.Ives, Sữa Tắm St.Ives Dưỡng Ẩm Da Yến Mạch & Bơ Hạt Mỡ 650ml, 159.000 ₫, 12%, 180.000 ₫, 
Cetaphil, Sữa Tắm Gội Cetaphil Dịu Lành Cho Bé 400ml, 209.000 ₫, 15%, 245.000 ₫, 
Vaseline, Sữa Dưỡng Thể Vaseline Dưỡng Sáng Da Rạng Rỡ 350ml, 108.000 ₫, 28%, 150.000 ₫, 
On: The Body, Sữa Tắm On: The Body Dưỡng Ẩm Hương Tinh Tế 1000g, 230.000 ₫, 10%, 255.000 ₫, 
Nerman, Sữa Tắm Gội Nerman Hương Nước Hoa Cao Cấp 350ml, 199.000 ₫, 5%, 209.000 ₫, 
Nivea, Combo Sữa Dưỡng Thể Nivea Phục Hồi & Dưỡng Sáng Da Ngày & Đêm (350ml/chai), 253.000 ₫, 5%, 266.000 ₫, 
Bio-Oil, Dầu Chăm Sóc Da Bio-Oil Làm Giảm Rạn Da, 402.000 ₫, 9%, 440.000 ₫, 
Vaseline, Sữa Dưỡng Thể Vaseline Ngăn Ngừa Lão Hoá 350ml, 99.000 ₫, 34%, 150.000 ₫, 
Cléo, Kem Giảm Thâm Nách & Khử Mùi Cléo Dưỡng Sáng 6 Trong 1 35g, 154.000 ₫, 17%, 186.000 ₫, 
Avène, Kem Dưỡng Avène Giảm Khô Ngứa Cho Da Viêm Thể Tạng 200ml, 542.000 ₫, 27%, 739.000 ₫, 
Hazeline, Sữa Tắm Hazeline Sáng Mịn Rạng Ngời Matcha & Lựu Đỏ 1kg, 88.000 ₫, 37%, 139.000 ₫, 
Bio-Oil, Dầu Chăm Sóc Da Bio-Oil Làm Giảm Rạn Da, 165.000 ₫, 13%, 190.000 ₫, 
Vichy, Lăn Khử Mùi Vichy Ngăn Mồ Hôi, 236.000 ₫, 20%, 295.000 ₫, 
Hatomugi, Sữa Dưỡng Thể Hatomugi Chống Nắng Dưỡng Ẩm SPF50+ PA++++ 250ml, 145.000 ₫, 56%, 329.000 ₫, 
EtiaXil, Lăn Khử Mùi EtiaXil Nhãn Đỏ Dành Cho Da Khoẻ 15ml, 162.000 ₫, 49%, 320.000 ₫, 
Tesori d'Oriente, Sữa Tắm Nước Hoa Tesori d'Oriente Hương Hoa Sen 500ml, 229.000 ₫, 17%, 275.000 ₫, 
Dove, Sữa Tắm Dưỡng Thể Dove Dưỡng Ẩm Chuyên Sâu 900g, 168.000 ₫, 26%, 226.000 ₫, 
Neutrogena, Sữa Tắm Neutrogena Dưỡng Ẩm & Tươi Mới Dạng Gel 473ml, 235.000 ₫, 20%, 295.000 ₫, 
