NSX, Description, New Price, Discount percent, Old Price, 
DHC, Viên Uống DHC Rau Củ Quả Tổng Hợp Premium 120 Viên 30 Ngày, 209.000 ₫, 21%, 265.000 ₫, 
Itoh Kanpo, Nước Uống Naris Itoh Bổ Sung Collagen (50mlx10 Chai), 1.216.000 ₫, 26%, 1.650.000 ₫, 
DHC, Viên Uống DHC Biotin Ngăn Rụng Tóc Gói 30 Viên 30 Ngày, 119.000 ₫, 26%, 160.000 ₫, 
DHC, Viên Uống DHC Chiết Xuất Ý Dĩ Làm Sáng Da Gói 30 Viên 30 Ngày, 185.000 ₫, 24%, 245.000 ₫, 
DHC, Viên Uống DHC Bổ Sung Vitamin C Gói 180 Viên 90 Ngày, 199.000 ₫, 20%, 250.000 ₫, 
Nucos, Viên Uống Nucos Sáng Da, 535.000 ₫, 10%, 595.000 ₫, 
Gilaa, Bột Uống Collagen Gilaa Kết Hợp Saffron 2gx60 Gói, 435.000 ₫, 38%, 700.000 ₫, 
Blossomy, Thực Phẩm Bảo Vệ Sức Khỏe Blossomy Premium Thảo Dược 50mlx10, 451.000 ₫, 51%, 920.000 ₫, 
DHC, Viên Uống Collagen DHC (New) Đẹp Da Gói 540 Viên 90 Ngày, 530.000 ₫, 29%, 750.000 ₫, 
MENARD, Nước Uống Collagen Nội Sinh Menard Collagen Gold 30mlx10chai, 660.000 ₫, 45%, 1.200.000 ₫, 
Blossomy, Thực Phẩm Bảo Vệ Sức Khỏe Blossomy Premium Yến 50mlx10, 643.000 ₫, 30%, 920.000 ₫, 
DHC, Viên Uống DHC Bổ Sung Calcium + CBP Gói 120 Viên 30 Ngày, 165.000 ₫, 21%, 210.000 ₫, 
DHC, Viên Uống DHC Melilot Hỗ Trợ Giảm Mỡ Đùi Gói 60 Viên 30 Ngày, 260.000 ₫, 22%, 335.000 ₫, 
Itoh Kanpo, Viên Uống Đẹp Da Naris ITOH Placenta Từ Nhau Thai 120 Viên, 1.345.000 ₫, 10%, 1.495.000 ₫, 
Orihiro, Trà Genpi Orihiro Hỗ Trợ Giảm Mỡ Thừa 60 Gói/ Túi, 144.000 ₫, 26%, 195.000 ₫, 
Orihiro, Trà Giảm Cân Orihiro Night Diet Tea 20 Gói/ Túi, 165.000 ₫, 33%, 245.000 ₫, 
Adiva, Nước Uống Làm Đẹp Adiva Collagen 14 Chai/Hộp, 648.000 ₫, 20%, 811.000 ₫, 
Nucos, Nước Uống Collagen Nucos Super White Sáng Da 50mlx10, 1.012.000 ₫, 25%, 1.350.000 ₫, 
Itoh Kanpo, Viên Uống Bổ Sung Hyaluronic Acid Naris ITOH 120 Viên, 1.249.000 ₫, 26%, 1.695.000 ₫, 
DHC, Viên Uống DHC Vitamin B Tổng Hợp Gói 60 Viên 30 Ngày, 85.000 ₫, 23%, 110.000 ₫, 
Gilaa, Nước Uống Collagen Gilaa Kết Hợp Peony Cân Bằng Nội Tiết 20gx15 Gói, 565.000 ₫, 37%, 890.000 ₫, 
Blackmores, Viên Uống Blackmores Bổ Sung Vitamin C Lọ 31 Viên, 273.000 ₫, 21%, 344.000 ₫, 
Nature's Bounty, Viên Uống Nature's Bounty Vitamin E 400IU 30 Viên, 149.000 ₫, 1%, 150.000 ₫, 
Costar, Viên Uống Costar Dầu Cá 1000mg Omega 3 365 Viên, 500.000 ₫, 42%, 869.000 ₫, 
Alcofree, Thực Phẩm Bảo Vệ Sức Khỏe Alcofree (50ml x 10 Chai), 336.000 ₫, 25%, 450.000 ₫, 
Itoh Kanpo, Nước Uống Naris Itoh Dấm Lựu Giảm Cân, 495.000 ₫, not available, not available, 
DHC, Viên Uống DHC Zinc Bổ Sung Kẽm Gói 15 Ngày 15 Viên, 55.000 ₫, 15%, 65.000 ₫, 
Itoh Kanpo, Nước Uống Naris Itoh Dấm Táo Giảm Cân, 495.000 ₫, not available, not available, 
DHC, Viên Uống DHC Việt Quất Cải Thiện Thị Lực Gói 60 Viên 30 Ngày, 299.000 ₫, 25%, 400.000 ₫, 
Costar, Viên Uống Costar Sữa Ong Chúa 100 Viên, 249.000 ₫, 37%, 396.000 ₫, 
82X, Nước Uống Collagen 82X The Pink Làm Đẹp Da 100mlx10 Chai, 520.000 ₫, 10%, 580.000 ₫, 
Orihiro, Viên Uống Dầu Gan Cá Orihiro Hỗ Trợ Xương Khớp, 427.000 ₫, 46%, 790.000 ₫, 
Nature's Bounty, Viên Uống Nature's Bounty Bổ Sung Canxi 100 Viên, 275.000 ₫, 1%, 278.000 ₫, 
Costar, Viên Uống Costar Dầu Cá 1000mg Omega 3 100 Viên, 225.000 ₫, 38%, 363.000 ₫, 
Costar, Viên Uống Costar Hỗ Trợ Nội Tiết Tố Nữ 100 Viên, 399.000 ₫, 34%, 605.000 ₫, 
Alfe, Nước Uống Collagen Alfe Hỗ Trợ Giảm Nám Và Sạm Da 10 Lọ, 534.000 ₫, 10%, 594.000 ₫, 
Alfe, Nước Uống Collagen Alfe Tăng Độ Đàn Hồi & Sáng Da 10 Lọ, 534.000 ₫, 10%, 594.000 ₫, 
DHC, Viên Uống DHC Lutein Chống Ánh Sáng Xanh Gói 30 Viên 30 Ngày, 349.000 ₫, 19%, 430.000 ₫, 
DHC, Viên Uống DHC Vitamin B Tổng Hợp Gói 180 Viên 90 Ngày, 230.000 ₫, 21%, 290.000 ₫, 
DHC, Viên Uống DHC Hyaluronic Acid Cấp Nước Gói 60 Viên 30 Ngày, 395.000 ₫, 21%, 500.000 ₫, 
Rohto, Viên Uống Bổ Mắt Rohto V5 Bảo Vệ Sức Khỏe Hộp 30 Viên, 412.000 ₫, 15%, 485.000 ₫, 
Costar, Viên Uống Costar Glucosamine Hỗ Trợ Xương Khớp 30 Viên, 165.000 ₫, 40%, 275.000 ₫, 
Alcofree, Bộ 3 Chai Thực Phẩm Bảo Vệ Sức Khỏe Alcofree, 112.000 ₫, 21%, 141.000 ₫, 
Swisse, Viên Uống Dầu Cá Swisse Liều Cao Không Mùi 1500mg 200 Viên, 611.000 ₫, 12%, 695.000 ₫, 
Welson Beauty, Nước Uống Cấp Ẩm Căng Bóng Da Welson Beauty 6 Chaix50ml, 595.000 ₫, not available, not available, 
DHC, Viên Uống DHC Rau Củ Quả Tổng Hợp Premium 360 Viên 90 Ngày, 529.000 ₫, 24%, 700.000 ₫, 
