NSX, Description, New Price, Discount percent, Old Price, 
Tsubaki, Bộ Gội Xả Tsubaki Phục Hồi Ngăn Rụng Tóc 490ml+180g, 214.000 ₫, 49%, 420.000 ₫, 
Fino, Kem Ủ Tóc Fino Premium Touch Cải Thiện Tóc Hư Tổn 230g, 140.000 ₫, 33%, 209.000 ₫, 
OGX, Dầu Gội OGX Biotin & Collagen Làm Dày Tóc 385ml, 192.000 ₫, 35%, 295.000 ₫, 
Selsun, Dầu Gội Selsun Ngừa Gàu Và Ngứa 1% Selenium Sulfide 250ml, 183.000 ₫, 16%, 217.000 ₫, 
Tsubaki, Bộ Gội Xả Tsubaki Phục Hồi Ngăn Rụng Tóc 490mlx2, 298.000 ₫, 31%, 430.000 ₫, 
Tsubaki, Bộ Gội Xả Tsubaki Sạch Dầu Mát Lạnh (490ml/chai), 215.000 ₫, 49%, 418.000 ₫, 
Tsubaki, Dầu Xả Tsubaki Phục Hồi Ngăn Rụng Tóc 490ml, 139.000 ₫, 35%, 215.000 ₫, 
Tsubaki, Dầu Gội Tsubaki Dưỡng Tóc Bóng Mượt 490ml, 139.000 ₫, 35%, 215.000 ₫, 
Girlz Only, Dầu Gội Khô Girlz Only Tóc Bồng Bềnh Tức Thì 200ml, 89.000 ₫, 49%, 175.000 ₫, 
Cocoon, Dầu Gội Bưởi Cocoon Giảm Rụng & Kích Thích Mọc Tóc 310ml, 219.000 ₫, 11%, 245.000 ₫, 
Tsubaki, Mặt Nạ Tóc Tsubaki Cao Cấp Phục Hồi Hư Tổn 180g, 192.000 ₫, 35%, 295.000 ₫, 
Aromatica, Muối Tẩy Tế Bào Chết Da Đầu Aromatica Từ Hương Thảo 165g, 288.000 ₫, 38%, 468.000 ₫, 
Tsubaki, Bộ Gội Xả Tsubaki Dưỡng Tóc Bóng Mượt 490ml+180g, 214.000 ₫, 58%, 510.000 ₫, 
Tsubaki, Xịt Dưỡng Tóc Tsubaki Hỗ Trợ Phục Hồi Hư Tổn 220ml, 148.000 ₫, 17%, 179.000 ₫, 
Vichy, Dầu Gội Vichy Ngăn Ngừa & Giảm Rụng Tóc 200ml, 332.000 ₫, 20%, 415.000 ₫, 
L'Oreal, Bộ Gội Xả L'Oreal Dưỡng Tóc Suôn Mượt Tóc Cao Cấp 440mlx2, 319.000 ₫, 20%, 398.000 ₫, 
Tsubaki, Bộ Gội Xả Tsubaki Phục Hồi Hư Tổn Nặng & Giảm Gãy Rụng 490mlx2, 368.000 ₫, 26%, 498.000 ₫, 
Cocoon, Dầu Xả Bưởi Cocoon Cung Cấp Dưỡng Chất & Độ Ẩm 310ml, 163.000 ₫, 12%, 185.000 ₫, 
Kumano, Dầu Xả Kumano Salon Link Phục Hồi Cho Tóc Yếu 1000ml, 139.000 ₫, 39%, 229.000 ₫, 
OGX, Dầu Xả OGX Biotin & Collagen Làm Dày Tóc 385ml, 194.000 ₫, 34%, 295.000 ₫, 
Dove, Dầu Gội Dove Hỗ Trợ Phục Hồi Tóc Hư Tổn 880g, 176.000 ₫, 19%, 216.000 ₫, 
L'Oreal, Dầu Xả L'Oreal Paris Dưỡng Tóc Suôn Mượt Tóc Cao Cấp 440ml, 165.000 ₫, 17%, 199.000 ₫, 
Clear, Dầu Gội Clear Sạch Gàu Mát Lạnh Bạc Hà 630g, 139.000 ₫, 20%, 174.000 ₫, 
Tsubaki, Dầu Xả Tsubaki Phục Hồi Hư Tổn Nặng & Giảm Gãy Rụng 490ml, 173.000 ₫, 31%, 249.000 ₫, 
Cocoon, Bộ Gội Xả Bưởi Cocoon Giảm Gãy Rụng Tóc (310ml/chai), 347.000 ₫, 19%, 430.000 ₫, 
Hairburst, Bộ Gội Xả Hairburst Giúp Tóc Mọc Dài Nhanh & Chắc Khỏe 350mlx2, 580.000 ₫, 32%, 850.000 ₫, 
Selsun, Bộ Gội Xả Selsun Giúp Làm Giảm & Ngăn Ngừa Gàu 100mlx2, 122.000 ₫, 5%, 128.350 ₫, 
Milaganics, Dầu Gội Milaganics Tinh Dầu Bưởi Kích Thích Mọc Tóc 500ml, 195.000 ₫, 57%, 451.000 ₫, 
Mise en scène, Tinh Chất Dưỡng Tóc Mise en scène Phục Hồi Hư Tổn 80ml, 232.000 ₫, 20%, 289.000 ₫, 
Girlz Only, Dầu Gội Khô Girlz Only Hương Trái Cây Ngọt Ngào 200ml, 89.000 ₫, 49%, 175.000 ₫, 
Cocoon, Combo Nước Dưỡng Tóc Cocoon Tinh Dầu Bưởi & Dưỡng Tóc Sa-Chi, 248.000 ₫, 20%, 310.000 ₫, 
Double Rich, Keo Tạo Kiểu Tóc Double Rich Dạng Xịt Giữ Tóc Cố Định 170ml, 72.000 ₫, 9%, 79.000 ₫, 
Dove, Kem Xả Dove Phục Hồi Hư Tổn Cho Tóc Chắc Khỏe (Mới) 610g, 123.000 ₫, 21%, 155.000 ₫, 
BareSoul, Muối Tắm BareSoul Tẩy Tế Bào Chết Cho Da Đầu & Cơ Thể 330g, 195.000 ₫, 22%, 250.000 ₫, 
Raip, Tinh Dầu Dưỡng Tóc Raip Bóng Mượt Hương Baby Powder 100ml, 109.000 ₫, 13%, 125.000 ₫, 
Sunsilk, Dầu Gội Sunsilk Natural Mềm Mượt Tỏa Hương 650g, 129.000 ₫, 11%, 145.000 ₫, 
Clear, Dầu Gội Clear 9 Thảo Dược Chăm Sóc Da Đầu Yếu 630g, 147.000 ₫, 26%, 198.000 ₫, 
OGX, Bộ Gội Xả OGX Biotin & Collagen Làm Dày Tóc 2x385ml, 383.000 ₫, 35%, 590.000 ₫, 
Vichy, Bộ Dầu Gội Vichy Giảm Gàu Cho Da Đầu Dầu, 415.000 ₫, 20%, 518.000 ₫, 
Bigen, Thuốc Nhuộm Tóc Bigen Phủ Bạc Dạng Kem 881 Đen Tự Nhiên 80ml, 142.000 ₫, 15%, 168.000 ₫, 
Dove, Dầu Gội Dove Óng Mềm Tự Nhiên 640g (Mới), 143.000 ₫, 25%, 190.000 ₫, 
Milaganics, Serum Gội Bồ Kết Milaganics Đen Mượt Óng Ả 250ml, 92.000 ₫, 61%, 234.000 ₫, 
Raip, Tinh Dầu Dưỡng Tóc Raip Bóng Mượt Hương Elegance 100ml, 109.000 ₫, 13%, 125.000 ₫, 
Head & Shoulders, Dầu Gội Head & Shoulders Cho Da Đầu Ngứa 625ml, 143.000 ₫, 20%, 179.000 ₫, 
Rejoice, Dầu Gội Rejoice Siêu Mềm Mượt 48 Giờ 650ml, 126.000 ₫, 12%, 143.000 ₫, 
TRESemmé, Kem Ủ Tóc TRESemmé Keratin Smooth Vào Nếp Suôn Mượt 180ml (Mới), 117.000 ₫, 28%, 162.000 ₫, 
Head & Shoulders, Dầu Gội Head & Shoulders Băng Lạnh Sạch Gàu 550ml, 135.000 ₫, 21%, 171.000 ₫, 
TRESemmé, Bộ Gội Xả TRESemmé Salon Rebond Ngăn Gãy Rụng Tóc 640g+620g, 312.000 ₫, 29%, 440.000 ₫, 
L'Oreal, Màu Nhuộm L'Oreal Phủ Bạc 3 Nâu Đen Tự Nhiên 172ml, 169.000 ₫, 15%, 199.000 ₫, 
Avatar, Dầu Gội Avatar Tinh Chất Bưởi Hà Thủ Ô 600ml, 166.000 ₫, 17%, 199.000 ₫, 
Reen, Kem Nhuộm Tóc Reen Phủ Bạc Thảo Dược Màu Nâu Đen 128g, 161.000 ₫, 1%, 162.000 ₫, 
Tsubaki, Dầu Gội Tsubaki Phục Hồi Ngăn Rụng Tóc 490ml, 139.000 ₫, 35%, 215.000 ₫, 
Cocoon, Nước Dưỡng Tóc Cocoon Tinh Dầu Bưởi 310ml, 291.000 ₫, 10%, 325.000 ₫, 
Cocoon, [Phiên Bản Mới] Nước Dưỡng Tóc Cocoon Tinh Dầu Bưởi 140ml, 147.000 ₫, 11%, 165.000 ₫, 
TRESemmé, Bộ Gội Xả TRESemmé Keratin Vào Nếp Suôn Mượt 640g+620g, 303.000 ₫, 18%, 370.000 ₫, 
Tsubaki, Bộ Gội Xả Tsubaki Phục Hồi Ngăn Rụng Tóc 490ml+180g, 214.000 ₫, 49%, 420.000 ₫, 
