NSX, Description, New Price, Discount percent, Old Price, 
P/S, Bàn Chải Điện P/S S100 Pro Công Nghệ Sóng Âm Màu Xanh Ombre, 650.000 ₫, 50%, 1.300.000 ₫, 
P/S, Kem Đánh Răng P/S Than Hoạt Tính Trắng Răng Tự Nhiên 230g, 37.000 ₫, 18%, 45.000 ₫, 
Femfresh, Dung Dịch Vệ Sinh Phụ Nữ Femfresh Cao Cấp Làm Dịu Da 250ml, 198.000 ₫, not available, not available, 
Diana, Băng Quần Diana Ban Đêm Size M-L 5 Cái, 79.000 ₫, 11%, 89.000 ₫, 
P/S, Bàn Chải Điện P/S S100 Pro Công Nghệ Sóng Âm Màu Đen, 650.000 ₫, 50%, 1.300.000 ₫, 
Propolinse, Nước Súc Miệng Propolinse Pure Chiết Xuất Sáp Ong 600ml, 135.000 ₫, 43%, 235.000 ₫, 
Eucryl, Kem Đánh Răng Eucryl Làm Trắng Răng Hương Bạc Hà 62g, 49.000 ₫, 35%, 75.000 ₫, 
Lactacyd, Dung Dịch Vệ Sinh Phụ Nữ Lactacyd Ngăn Mùi 24H 150ml, 44.000 ₫, 10%, 49.000 ₫, 
P/S, Bàn Chải Điện P/S S100 Pro Công Nghệ Sóng Âm Màu Trắng, 650.000 ₫, 50%, 1.300.000 ₫, 
Diana, Băng Vệ Sinh Diana Cool Fresh Mát Lạnh Siêu Mỏng Cánh 20M, 43.000 ₫, 9%, 47.000 ₫, 
Diana, Băng Vệ Sinh Diana Hàng Ngày Sensi Cool Fresh Gói 40 Miếng, 38.000 ₫, 12%, 43.000 ₫, 
Lactacyd, Dung Dịch Vệ Sinh Phụ Nữ Lactacyd Cho Da Nhạy Cảm 250ml, 83.000 ₫, 2%, 85.000 ₫, 
Closeup, Combo 3 Kem Đánh Răng Closeup Dạng Gel Trắng Răng Kim Cương 100gx3, 100.000 ₫, 15%, 117.000 ₫, 
Chilly, Dung Dịch Vệ Sinh Phụ Nữ Chilly Gel Tươi Mát 200ml, 179.000 ₫, 19%, 220.000 ₫, 
Kotex, Băng Vệ Sinh Kotex Sport Tampon Loại Vừa 16 Miếng, 70.000 ₫, 1%, 71.000 ₫, 
Aquafresh, Kem Đánh Răng Aquafresh Phục Hồi Độ Sáng Tự Nhiên 158.7g, 86.000 ₫, 2%, 88.000 ₫, 
Lactacyd, Dung Dịch Vệ Sinh Phụ Nữ Lactacyd Dưỡng Ẩm 150ml, 56.000 ₫, 2%, 57.000 ₫, 
Wettrust, Gel Dưỡng Vùng Kín Wettrust Màu Cam 1, 21.000 ₫, 34%, 32.000 ₫, 
Unicharm 3D Mask, Khẩu Trang Unicharm 3D Mask Siêu Thoáng Khí Hộp 100 Miếng, 233.000 ₫, 21%, 293.600 ₫, 
Crest, Kem Đánh Răng Crest Làm Sáng, 108.000 ₫, 4%, 113.000 ₫, 
P/S, Bộ 3 Kem Đánh Răng P/S Than Hoạt Tính Trắng Răng 230gx3, 117.000 ₫, 13%, 135.000 ₫, 
Crest, Combo 2 Kem Đánh Răng Crest Làm Sáng, 198.000 ₫, 2%, 202.000 ₫, 
Wettrust, Dung Dịch Vệ Sinh Vùng Kín Wettrust Dạng Gel Màu Xanh 1, 25.000 ₫, 34%, 38.000 ₫, 
Marvis, Kem Đánh Răng Marvis Màu Đen Từ Cam Thảo Và Than Tre 85ml, 167.000 ₫, 36%, 259.000 ₫, 
Median, Kem Đánh Răng Median IQ 93% Trắng Răng Màu Xanh Dương 120g, 38.000 ₫, 42%, 65.000 ₫, 
Durex, Gel Bôi Trơn Durex Play Classic Gốc Nước Chai 50ml, 76.000 ₫, 15%, 89.000 ₫, 
Jomi, Tăm Chỉ Kẽ Răng Jomi Disposable Flosser 80 Chiếc, 29.000 ₫, 26%, 39.000 ₫, 
Durex, Bao Cao Su Durex Performa Kéo Dài Thời Gian Size 52mm (Hộp 12), 209.000 ₫, 14%, 244.000 ₫, 
Halio, Máy Tăm Nước Cầm Tay Halio 6 Chế Độ, 1.458.000 ₫, 19%, 1.800.000 ₫, 
Femfresh, Dung Dịch Vệ Sinh Phụ Nữ Femfresh Cao Cấp Năng Động 250ml, 186.000 ₫, 6%, 198.000 ₫, 
Loli & The Wolf, Xịt Thơm Miệng Loli And The Wolf Velvet Kiss Vị Dâu Rừng 20ml, 138.000 ₫, 18%, 169.000 ₫, 
Median, Kem Đánh Răng Median IQ 93% Trắng Răng Màu Xanh Ngọc 120g, 38.000 ₫, 42%, 65.000 ₫, 
Marvis, Kem Đánh Răng Marvis Màu Tím Chiết Xuất Hoa Nhài 85ml, 168.000 ₫, 35%, 259.000 ₫, 
Laurier, Băng Vệ Sinh Laurier Safety Night Ban Đêm 35cm 8 Miếng, 39.000 ₫, 17%, 47.000 ₫, 
Agi, Combo 6 Khăn Ướt AGI Không Hương 100 Tờ (Gấu Nâu), 198.000 ₫, 6%, 210.000 ₫, 
Diana, Băng Vệ Sinh Diana Super Night Ban Đêm 29cm Gói 12 Miếng, 48.000 ₫, 4%, 50.000 ₫, 
Kotex, Băng Vệ Sinh Kotex Mini Meow Siêu Mềm Cánh 24cm 8 Miếng, 18.000 ₫, 25%, 24.000 ₫, 
Diana, Băng Vệ Sinh Diana Super Night Ban Đêm 35cm Gói 12 Miếng, 70.000 ₫, 3%, 72.000 ₫, 
Propolinse, Nước Súc Miệng Propolinse Dental Whitening Sáng Răng 600ml, 189.000 ₫, 24%, 250.000 ₫, 
Diana, Băng Vệ Sinh Diana Siêu Thấm Siêu Mỏng Cánh Gói 20 Miếng, 45.000 ₫, 6%, 48.000 ₫, 
Eucryl, Combo Eucryl Kem Đánh Răng + Bột Làm Trắng Răng Hương Bạc Hà, 98.000 ₫, 22%, 125.000 ₫, 
MegRhythm, Mặt Nạ Xông Hơi Mắt MegRhythm Hương Lavender 5 Miếng, 118.000 ₫, 16%, 140.000 ₫, 
Laurier, Băng Vệ Sinh Laurier Safety Night Ban Đêm 40cm 8 Miếng, 47.000 ₫, 16%, 56.000 ₫, 
Sagami, Bao Cao Su Sagami Exceed 2000 Siêu Mỏng (Hộp 12 Cái), 94.000 ₫, 22%, 120.000 ₫, 
Laurier, Băng Vệ Sinh Laurier Siêu Mỏng Cánh Kháng Khuẩn 25cm 14M, 67.000 ₫, 17%, 81.000 ₫, 
Lactacyd, Dung Dịch Vệ Sinh Phụ Nữ Lactacyd Dưỡng Ẩm & Căng Mịn 150ml, 61.000 ₫, 5%, 64.000 ₫, 
Marvis, Kem Đánh Răng Marvis Màu Đỏ Hương Quế Cay Nồng 85ml, 168.000 ₫, 35%, 259.000 ₫, 
